case_id,file,bytes,last_write_time,copied_to_export
batch2_h0175_mu0680,RunPARTs.csv,2547,2026-05-04T20:40:27,True
batch2_h0225_mu0680,ChronoBody_forces.csv,1467945,2026-05-04T12:11:04,False
batch2_h0225_mu0680,ChronoExchange_mkbound_51.csv,1645440,2026-05-04T12:11:04,False
batch2_h0225_mu0680,GaugesMaxZ_hmax01.csv,336790,2026-05-04T12:11:07,False
batch2_h0225_mu0680,GaugesMaxZ_hmax02.csv,300913,2026-05-04T12:11:07,False
batch2_h0225_mu0680,GaugesMaxZ_hmax03.csv,363687,2026-05-04T12:11:07,False
batch2_h0225_mu0680,GaugesMaxZ_hmax04.csv,362173,2026-05-04T12:11:07,False
batch2_h0225_mu0680,GaugesMaxZ_hmax05.csv,382440,2026-05-04T12:11:07,False
batch2_h0225_mu0680,GaugesMaxZ_hmax06.csv,353790,2026-05-04T12:11:07,False
batch2_h0225_mu0680,GaugesMaxZ_hmax07.csv,335496,2026-05-04T12:11:07,False
batch2_h0225_mu0680,GaugesMaxZ_hmax08.csv,325853,2026-05-04T12:11:07,False
batch2_h0225_mu0680,GaugesVel_V01.csv,593480,2026-05-04T12:11:07,False
batch2_h0225_mu0680,GaugesVel_V02.csv,550392,2026-05-04T12:11:07,False
batch2_h0225_mu0680,GaugesVel_V03.csv,564269,2026-05-04T12:11:07,False
batch2_h0225_mu0680,GaugesVel_V04.csv,528843,2026-05-04T12:11:07,False
batch2_h0225_mu0680,GaugesVel_V05.csv,565360,2026-05-04T12:11:07,False
batch2_h0225_mu0680,GaugesVel_V06.csv,529546,2026-05-04T12:11:07,False
batch2_h0225_mu0680,GaugesVel_V07.csv,360069,2026-05-04T12:11:07,False
batch2_h0225_mu0680,GaugesVel_V08.csv,500479,2026-05-04T12:11:07,False
batch2_h0225_mu0680,GaugesVel_V09.csv,471905,2026-05-04T12:11:07,False
batch2_h0225_mu0680,GaugesVel_V10.csv,499935,2026-05-04T12:11:07,False
batch2_h0225_mu0680,GaugesVel_V11.csv,441001,2026-05-04T12:11:07,False
batch2_h0225_mu0680,GaugesVel_V12.csv,367656,2026-05-04T12:11:07,False
batch2_h0225_mu0680,Run.csv,1082,2026-05-04T12:11:07,True
batch2_h0225_mu0680,RunPARTs.csv,2552,2026-05-04T12:11:07,True
batch2_h0225_mu0720,ChronoBody_forces.csv,1494486,2026-05-04T17:06:37,False
batch2_h0225_mu0720,ChronoExchange_mkbound_51.csv,1644964,2026-05-04T17:06:37,False
batch2_h0225_mu0720,GaugesMaxZ_hmax01.csv,336748,2026-05-04T17:06:39,False
batch2_h0225_mu0720,GaugesMaxZ_hmax02.csv,300877,2026-05-04T17:06:39,False
batch2_h0225_mu0720,GaugesMaxZ_hmax03.csv,363683,2026-05-04T17:06:39,False
batch2_h0225_mu0720,GaugesMaxZ_hmax04.csv,362206,2026-05-04T17:06:39,False
batch2_h0225_mu0720,GaugesMaxZ_hmax05.csv,382170,2026-05-04T17:06:39,False
batch2_h0225_mu0720,GaugesMaxZ_hmax06.csv,353572,2026-05-04T17:06:39,False
batch2_h0225_mu0720,GaugesMaxZ_hmax07.csv,335593,2026-05-04T17:06:39,False
batch2_h0225_mu0720,GaugesMaxZ_hmax08.csv,325662,2026-05-04T17:06:39,False
batch2_h0225_mu0720,GaugesVel_V01.csv,592910,2026-05-04T17:06:39,False
