case_id,lot,source_export,source_commit,official_result,is_partial_diagnostic,gp_compatible,status,dp,dam_height,friction_coefficient,boulder_mass,boulder_rot_z,slope_inv,classification_mode,reference_time_s,criterion_class,disp_pct_deq,g_pct,g_train_clip_pct,frontier_zone,max_displacement_m,max_rotation_deg,max_velocity_ms,max_sph_force_N,max_contact_force_N,max_flow_velocity_ms,max_water_height_m,sim_time_reached_any,quality_flags,moved,rotated,tiempo_min,n_particles,mem_gpu_mb,output_path,notas,disp_margin_pct,sim_time_reached_s,n_timesteps,hardware,failed,max_displacement_pct_deq,sim_time_reached,flow_gauge_id,flow_gauge_distance,water_gauge_id,water_gauge_distance
batch4_mass_m085_H0200_mu0682,batch4,origin/master:exports/batch4_mass_probe_20260513/batch4_summary.csv,95d9468,True,False,True,OK_SQLITE,0.003,0.2,0.682,0.85,0.0,20.0,displacement_only,0.500009,FALLO,50.13435690612936,-45.13435690612936,-20.0,lejos,0.0503452093748745,11.27717887295702,0.1021401684793989,9.285439414897716,9137.759473683907,0.7589539446798429,0.0679143,9.999013,complete_postprocess_sqlite,1,1,,,,,,,,9500.0,,1,50.13435690612936,9.999013,V05,0.0682724043007129,hmax03,1.2294201683675927
batch4_mass_m085_H0210_mu0740,batch4,origin/master:exports/batch4_mass_probe_20260513/batch4_summary.csv,95d9468,True,False,True,OK_SQLITE,0.003,0.21,0.74,0.85,0.0,20.0,displacement_only,0.500012,FALLO,66.83080026941303,-61.83080026941303,-20.0,lejos,0.0671118737705931,13.083428712303608,0.1002071973912053,8.628644058860003,6635.336446954111,0.8633497830222349,0.0701825,9.999017,complete_postprocess_sqlite,1,1,,,,,,,,9500.0,,1,66.83080026941303,9.999017,V05,0.0682724043007129,hmax03,1.2294201683675927
batch4_mass_m085_H0225_mu0800,batch4,origin/master:exports/batch4_mass_probe_20260513/batch4_summary.csv,95d9468,True,False,True,OK_SQLITE,0.003,0.225,0.8,0.85,0.0,20.0,displacement_only,0.500001,FALLO,106.55116387830704,-101.55116387830704,-20.0,lejos,0.1069992912172789,16.373819552152725,0.1640414474485031,8.781030988241016,59578.1214594233,0.8545855750890311,0.073905,9.999017,complete_postprocess_sqlite,1,1,,,,,,,,9500.0,,1,106.55116387830704,9.999017,V05,0.0682721222315522,hmax03,1.229420174095903
batch4_mass_m100_H0200_mu0681,batch4,origin/master:exports/batch4_mass_probe_20260513/batch4_summary.csv,95d9468,True,False,True,OK_SQLITE,0.003,0.2,0.681,1.0,0.0,20.0,displacement_only,0.500009,ESTABLE,4.278297633371513,0.7217023666284872,0.7217023666284872,cercana_abs_g_le_2,0.0042962910748693,5.203381145335124,0.0999976809431098,8.352211079012312,10752.83374056948,0.7298531669072721,0.0682437,9.999014,complete_postprocess_sqlite,0,1,,,,,,,,9500.0,,0,4.278297633371513,9.999014,V05,0.0682724043007129,hmax03,1.2294201683675927
batch4_mass_m100_H0225_mu0860,batch4,origin/master:exports/batch4_mass_probe_20260513/batch4_summary.csv,95d9468,True,False,True,OK_SQLITE,0.003,0.225,0.86,1.0,0.0,20.0,displacement_only,0.500001,FALLO,5.8479473868531135,-0.8479473868531135,-0.8479473868531135,cercana_abs_g_le_2,0.0058725423795827,5.702800219957474,0.100081074149911,9.99023878483893,70451.93383087036,0.9499924616238804,0.0709851,9.99901,complete_postprocess_sqlite,1,1,,,,,,,,9500.0,,1,5.8479473868531135,9.99901,V05,0.0682721222315522,hmax03,1.229420174095903
batch4_mass_m115_H0175_mu0640,batch4,origin/master:exports/batch4_mass_probe_20260513/batch4_summary.csv,95d9468,True,False,True,OK_SQLITE,0.003,0.175,0.64,1.15,0.0,20.0,displacement_only,0.500003,ESTABLE,1.2323118534027673,3.7676881465972327,3.7676881465972327,lejos,0.001237494646453,4.123986098141169,0.0999945349606667,8.783738172784124,32804.27757811425,0.7291393256689698,0.0662141,9.999016,complete_postprocess_sqlite,0,0,,,,,,,,9500.0,,0,1.2323118534027673,9.999016,V05,0.0682721222315522,hmax03,1.229420174095903
batch4_mass_m115_H0200_mu0680,batch4,origin/master:exports/batch4_mass_probe_20260513/batch4_summary.csv,95d9468,True,False,True,OK_SQLITE,0.003,0.2,0.68,1.15,0.0,20.0,displacement_only,0.500009,ESTABLE,1.2314766942152948,3.768523305784705,3.768523305784705,lejos,0.0012366559747965,4.408829118291414,0.099996632273292,8.41410242849521,12368.557684717529,0.7711037923993436,0.0681885,9.999005,complete_postprocess_sqlite,0,0,,,,,,,,9500.0,,0,1.2314766942152948,9.999005,V05,0.0682724043007129,hmax03,1.2294201683675927
batch4_mass_m115_H0210_mu0760,batch4,origin/master:exports/batch4_mass_probe_20260513/batch4_summary.csv,95d9468,True,False,True,OK_SQLITE,0.003,0.21,0.76,1.15,0.0,20.0,displacement_only,0.500012,ESTABLE,1.2326437474336316,3.767356252566368,3.767356252566368,lejos,0.0012378279363465,4.39126042358876,0.1002902201313767,9.309878639016944,8964.265899448154,0.862941903632591,0.0696376,9.999012,complete_postprocess_sqlite,0,0,,,,,,,,9500.0,,0,1.2326437474336316,9.999012,V05,0.0682724043007129,hmax03,1.2294201683675927
batch4_mass_m125_H0200_mu0675,batch4,origin/master:exports/batch4_mass_probe_20260513/batch4_summary.csv,95d9468,True,False,True,OK_SQLITE,0.003,0.2,0.675,1.25,0.0,20.0,displacement_only,0.500009,ESTABLE,1.2314766942152948,3.768523305784705,3.768523305784705,lejos,0.0012366559747965,4.626925112464485,0.0999966822049611,8.540528120230096,13459.095229247358,0.7285774930888675,0.0685531,9.99902,complete_postprocess_sqlite,0,0,,,,,,,,9500.0,,0,1.2314766942152948,9.99902,V05,0.0682724043007129,hmax03,1.2294201683675927
batch4_mass_m125_H0225_mu0800,batch4,origin/master:exports/batch4_mass_probe_20260513/batch4_summary.csv,95d9468,True,False,True,OK_SQLITE,0.003,0.225,0.8,1.25,0.0,20.0,displacement_only,0.500001,ESTABLE,1.2337116386369946,3.7662883613630056,3.7662883613630056,lejos,0.0012389003188311,4.833981138426475,0.1002960776251992,10.746285818603978,87614.89526145483,0.9312096022735804,0.0703618,9.999009,complete_postprocess_sqlite,0,0,,,,,,,,9500.0,,0,1.2337116386369946,9.999009,V05,0.0682721222315522,hmax03,1.229420174095903
