dam_height,friction_coefficient,boulder_mass,pred_margin_train_pct_deq,pred_std_pct_deq,u_value,min_scaled_distance_to_existing,pred_class
0.21,0.89,1.2,-0.050771278381918084,9.93614264003913,0.0051097573999514395,0.4022670401938215,FALLO
0.175,0.755,0.9,-0.046486675925066834,9.055767816793928,0.005133377629100884,0.33340541319866546,FALLO
0.1825,0.74,1.225,0.05153813824801201,9.988420410670402,0.005159788648158004,0.37968597592144315,ESTABLE
0.195,0.76,1.25,-0.047380506599989936,9.03915573330219,0.005241696016523395,0.269258240356725,FALLO
0.1825,0.56,1.25,0.05167431343207474,9.84972627849258,0.005246268979565777,0.3692435922935251,ESTABLE
0.1875,0.775,1.175,-0.05312895475085355,10.070437635128988,0.005275734449267335,0.380101544664127,FALLO
0.21,0.655,1.25,-0.0409780417486072,7.686910365955453,0.0053308858563109384,0.20847111937258037,FALLO
0.1825,0.805,1.0,-0.05346537346645652,10.022166201730808,0.005334712315708537,0.385574662120327,FALLO
0.1875,0.84,0.85,-0.05108322702859169,9.501653259241335,0.00537624617893761,0.25682719406724974,FALLO
0.185,0.81,1.05,-0.054348110329363486,10.101144895317494,0.005380391123243051,0.3698200488238986,FALLO
0.205,0.82,0.85,0.023864709244318494,4.423257808729832,0.005395278836610703,0.0999999999999992,ESTABLE
0.1925,0.83,1.1,-0.05311359312801267,9.808082397285736,0.00541528822623939,0.374650933268967,FALLO
0.2075,0.895,1.175,-0.054533546306479774,10.024459223117493,0.005440048694169362,0.405045626247909,FALLO
0.18,0.75,1.2,0.0544402006539042,9.94913368615877,0.005471853366452992,0.3609657605325145,ESTABLE
0.19,0.805,1.125,-0.05502250747807347,9.938474722337778,0.005536313067678182,0.4047518623418604,FALLO
0.2125,0.855,1.25,-0.05188617467727319,9.297445877388734,0.005580691230852346,0.2977714225193615,FALLO
0.19,0.895,0.9,-0.0518622206438244,9.283761405480327,0.0055863370867333855,0.2573361339049549,FALLO
0.1825,0.78,0.925,0.05479501579038537,9.727646848453128,0.005632915816541298,0.379685975921443,ESTABLE
0.185,0.82,0.975,-0.05673424396251869,10.040152815608169,0.00565073510378402,0.3691798928064676,FALLO
0.1775,0.79,1.0,-0.054406135188510785,9.589211449362944,0.005673681874239989,0.3273702495292088,FALLO
0.19,0.865,1.0,-0.05636519181474853,9.91354650231176,0.005685673820322417,0.3929416167662206,FALLO
0.1875,0.83,0.85,-0.05423860829271776,9.481400908074093,0.005720526831274899,0.2517241583621131,FALLO
0.18,0.795,1.05,-0.056853204296369864,9.922550337225388,0.005729696737649588,0.37420330595393064,FALLO
0.195,0.845,1.1,0.05599967079209822,9.759171453579981,0.005738158311743769,0.388034707540518,ESTABLE
